Nombre Cliente;Genero;Pais;Precio USD;Unidades Vendidas;Fecha Venta;Familia de Productos;Año;Ventas
Regina Reed;Masculino;Alemania;114.46;3;1/01/2023;Smartphones;2023;343.38
Steven Wyatt;Femenino;Alemania;352.99;8;1/01/2023;Consolas;2023;2823.92
Heidi Armstrong;No especificado;Argentina;980.5;4;1/01/2023;Desktops;2023;3922
Catherine Contreras;Masculino;Argentina;612;8;1/01/2023;Tablets;2023;4896
Charles Sutton;Femenino;España;664.83;2;1/01/2023;Cámaras;2023;1329.66
Lynn Perez;Femenino;USA;709.55;3;1/01/2023;Consolas;2023;2128.65
Edwin Howe;Masculino;Alemania;576.02;3;1/01/2023;Smartphones;2023;1728.06
Michelle Fischer;Femenino;Italia;206.31;10;1/01/2023;Smartphones;2023;2063.1
Connor Thomas;No especificado;Canada;608.74;3;1/01/2023;Smartphones;2023;1826.22
Clayton Morton;Femenino;USA;521.14;3;1/01/2023;Laptops;2023;1563.42
Anthony Smith;No especificado;España;546.89;3;1/01/2023;Laptops;2023;1640.67
Jennifer Martinez;Masculino;Mexico;233;5;1/01/2023;Laptops;2023;1165
Paul Moreno;Masculino;España;997.95;5;1/01/2023;Tablets;2023;4989.75
Lisa Davis;No especificado;España;123.49;10;1/01/2023;Televisores;2023;1234.9
Leah Jefferson;No especificado;Colombia;990.34;2;1/01/2023;Smartphones;2023;1980.68
Paul French;Femenino;Italia;173.33;10;1/01/2023;Televisores;2023;1733.3
James Hebert;No especificado;USA;932.45;1;1/01/2023;Smartphones;2023;932.45
Hunter Soto;No especificado;Alemania;385.24;6;1/01/2023;Consolas;2023;2311.44
Natalie Irwin;Femenino;Argentina;633.05;6;1/01/2023;Tablets;2023;3798.3
Taylor Ponce;Masculino;Francia;631.05;4;1/01/2023;Desktops;2023;2524.2
Raymond Tran;Masculino;Italia;481.76;1;1/01/2023;Laptops;2023;481.76
Kristin Norris;No especificado;España;105.55;8;1/01/2023;Desktops;2023;844.4
Brian Green;Femenino;Alemania;365;3;1/01/2023;Tablets;2023;1095
Ryan Thomas;Femenino;Canada;934.05;4;1/01/2023;Cámaras;2023;3736.2
Taylor Ruiz;No especificado;Italia;595.91;1;1/01/2023;Desktops;2023;595.91
Michael Bradley;No especificado;España;792.11;3;1/01/2023;Smartphones;2023;2376.33
Dustin Jacobs;Femenino;Alemania;332.63;1;1/01/2023;Consolas;2023;332.63
Tammy Doyle;Masculino;Italia;504.69;1;1/01/2023;Televisores;2023;504.69
Christopher Anderson;Masculino;Alemania;525.77;10;1/01/2023;Cámaras;2023;5257.7
Gina Melendez;Femenino;USA;787.26;7;1/01/2023;Consolas;2023;5510.82
Edward Wagner;Femenino;Alemania;910.49;8;1/01/2023;Televisores;2023;7283.92
Mr. Jeffery Salazar;No especificado;Mexico;257.33;1;1/01/2023;Cámaras;2023;257.33
Ruben Bryant;No especificado;Italia;998.68;5;1/01/2023;Laptops;2023;4993.4
Brandon Romero;Femenino;USA;576.24;10;1/01/2023;Smartphones;2023;5762.4
